CALM1	80509
CAMK1	877753
CAND1	206
CAPN1	292
CAPN10	15834
CARD14	97614
CARD9	73
CASK	1298
CASP10	88
CASZ1	6200
CAT	643435
CAV1	789420
CAV2	133668
CBFA2T2	66
CBLC	84325
CC2D1A	79475
CCDC107	127890
CCDC110	0
CCDC12	0
CCDC120	125160
CCDC124	1408
CCDC130	22282
CCDC137	690
CCDC138	11082
CCDC14	12614
CCDC148	897
CCDC157	16086
CCDC22	0
CCDC24	35196
CCDC3	935
CCDC30	0
CCDC41	2688
CCDC45	226
CCDC50	1958
CCDC52	9963
CCDC57	102060
CCDC64B	65010
CCDC66	0
CCDC69	852859
CCDC75	9715
CCDC8	0
CCDC80	216
CCDC85A	33005
CCDC85B	0
CCDC85C	0
CCDC9	3066
CCDC92	43072
CCHCR1	15900
CCL13	224
CCL28	425
CCL5	52
CCNA2	0
CCNB2	620
CCNT1	532
CCNT2	4543
CCR1	342
CCS	1141
CCT2	0
CD151	464
CD163	1060
CD164L2	4888
CD2	84
CD209	774
CD24	0
CD2AP	204
CD2BP2	22
CD300LG	214897
CD302	101156
CD33	388
CD34	2079
CD36	810600
CD3D	60
CD3E	60
CD3EAP	45110
CD4	32
CD48	0
CD5	0
CD6	84
CD63	53
CD68	1520
CD79A	0
CD81	139315
CD82	2378
CD86	406
CD8A	19
CD8B	0
CD93	207
CD99L2	1084752
CDC20	0
CDC34	903
CDC37	1130
CDC42BPA	8
CDC42BPG	152544
CDC45	13
CDCA2	387
CDCA5	135
CDH1	33915
CDH3	0
CDH5	38076
CDK11A	0
CDK12	640
CDK13	1065
CDK20	40677
CDK5RAP3	46774
CDKL5	0
CDKN2B	731976
CDO1	517816
CEBPA	717588
CELF2	192507
CELF5	129
CELSR2	0
CENPT	36
CEP164	8524
CEP350	180
CEP55	518
CES1	37036
CFD	12644
CFL1	0
CFL2	53352
CGN	10464
CHD2	188
CHD6	3458
CHD8	4301
CHDH	239
CHERP	80040
CHML	0
CHMP2A	74
CHMP4C	900
CHPF	0
CHRDL1	520987
CHRM1	220
CHRNB2	0
CHTF18	134511
CIC	0
CIDEA	575705
CIDEC	762248
CITED4	0
CKB	58002
CLDN3	0
CLDN7	16392
CLEC14A	657
CLEC3B	48
CLOCK	34
CLSTN1	2954
CLTB	1251
CMPK2	0
CNKSR1	64032
CNN1	0
CNOT3	4695
CNOT6	5384
CNOT6L	89
CNOT7	12
CNRIP1	192525
CNTFR	300456
CNTROB	97428
COASY	740
COBLL1	10682
COBRA1	0
COG3	0
COIL	22473
COL17A1	0
COL1A1	0
COL1A2	0
COL3A1	0
COL4A1	2541
COL4A2	114
COL4A3BP	8865
COL5A1	0
COL6A1	0
COL6A2	0
COL7A1	709
COL9A2	2442
COPS6	8
COPZ2	654524
COQ4	740
CORO1B	0
CORO7	0
COX4I2	0
COX6B1	120
COX7A1	739500
COX7A2	834
COX7B	459
COX7C	2
CPA3	0
CPM	480470
CPNE2	56640
CPSF1	0
CPSF3L	11628
CPSF6	39880
CPVL	0
CPXM2	0
CRB3	103040
CREB3L4	19968
CREBBP	0
CREBL2	0
CREBZF	1393
CROCC	1900
CROCCL2	0
CRTAP	116400
CRYBG3	24100
CS	0
CSF1R	675
CSNK1G1	0
CSNK1G2	3348
CSPG4	50512
CSPP1	0
CSRNP3	0
CT62	0
CTAGE4	0
CTAGE9	0
CTBP1	0
CTBP2	13134
CTDP1	412
CTDSPL2	0
CTSA	0
CTSB	0
CTSC	0
CTSS	0
CUEDC2	0
CUL9	2424
CXCR1	0
CXCR6	0
CXCR7	105
CXXC1	57684
CXorf36	1410
CYB561	0
CYB5A	0
CYB5R3	213555
CYBB	148
CYGB	53179
CYTH2	9456
CYTH4	0
D2HGDH	1090
DAAM2	83783
DAB2	212
DAK	39592
DAPK3	0
DCAF15	0
DCAF16	2346
DCAF17	0
DCN	115
DDAH2	81
DDI2	0
DDR1	247653
DDR2	5080
DDRGK1	528
DDX17	1771
DDX26B	1182
DDX49	0
DDX51	0
DDX54	21384
DEAF1	330
DECR1	34165
DEF6	42094
DENND1C	0
DENND2A	0
DENND4C	0
DENND5A	0
DEPDC1	35
DEPDC1B	0
DERL1	2929
DERL3	3
DFNB31	62860
DGAT1	560300
DGAT2	388204
DGCR2	27570
DGKQ	1542
DHDDS	685930
DHDPSL	263442
DHRS3	132470
DHX30	32494
DHX33	300
